Campaign,Ad group,Keyword,Match type,Final URL
Concurrents - agences infirmières Québec,Concurrents phase 1,agence nomade,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence nomade,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,sos infirmière,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,sos infirmière,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,solutions nursing,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,solutions nursing,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence solumed,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence solumed,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,solumed,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,solumed,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence md santé,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence md santé,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,md santé,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,md santé,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,servir plus,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,servir plus,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,groupe serenis,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,groupe serenis,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,soins intermédiaires,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,soins intermédiaires,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,soins med,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,soins med,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,experts médic sst,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,experts médic sst,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence continuum,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,agence continuum,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,soins de santé le fleuron,Exact,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
Concurrents - agences infirmières Québec,Concurrents phase 1,soins de santé le fleuron,Phrase,https://www.agencesanitas.com/emplois-infirmieres-quebec?utm_source=google&utm_medium=cpc&utm_campaign=concurrents_agences_infirmieres_quebec&utm_content=kw_competitor&utm_term={keyword}
